Participant ID,Playlist ID,Video ID,CMA,Valence,Arousal,Dominance,significance
1,1,0,Baseline,3,2,3,3
1,1,1,LVLA,4,3,2,3
1,1,2,LVLA,3,4,4,3
1,1,3,LVHA,3,3,3,2
1,1,4,LVHA,2,2,4,1
1,1,5,HVHA,3,3,3,4
1,1,6,HVLA,3,3,3,3
1,1,7,HVHA,4,4,3,3
1,1,8,HVLA,4,2,3,3
2,1,0,Baseline,3,4,4,3
2,1,1,LVLA,2,3,5,4
2,1,2,LVLA,1,3,4,4
2,1,3,LVHA,3,4,3,4
2,1,4,LVHA,4,2,2,4
2,1,5,HVHA,5,5,2,4
2,1,6,HVLA,3,5,4,2
2,1,7,HVHA,2,4,3,2
2,1,8,HVLA,5,5,4,4
3,3,0,Baseline,4,3,2,3
3,3,1,LVHA,3,1,3,2
3,3,2,HVLA,2,5,4,2
3,3,3,LVLA,2,3,5,2
3,3,4,HVHA,5,2,4,2
3,3,5,HVLA,3,5,4,4
3,3,6,LVHA,4,5,4,4
3,3,7,LVLA,2,4,3,2
3,3,8,HVHA,3,5,3,2
4,4,0,Baseline,3,1,5,1
4,4,1,LVHA,5,3,2,1
4,4,2,HVLA,5,1,5,3
4,4,3,LVHA,4,2,5,1
4,4,4,HVHA,4,1,5,1
4,4,5,HVLA,4,2,5,3
4,4,6,LVLA,5,4,5,3
4,4,7,LVLA,2,3,4,5
4,4,8,HVHA,5,4,4,1
5,4,0,Baseline,4,3,3,3
5,4,1,LVHA,4,2,2,3
5,4,2,HVLA,5,2,4,3
5,4,3,LVHA,3,2,3,3
5,4,4,HVHA,4,1,4,3
5,4,5,HVLA,5,1,4,2
5,4,6,LVLA,3,2,3,3
5,4,7,LVLA,3,2,3,3
5,4,8,HVHA,4,2,4,2
6,2,0,Baseline,4,1,5,4
6,2,1,LVLA,2,3,5,4
6,2,2,LVHA,4,4,5,4
6,2,3,LVLA,3,1,5,1
6,2,4,LVHA,3,2,5,2
6,2,5,HVHA,4,4,5,4
6,2,6,HVLA,5,1,5,1
6,2,7,HVHA,5,3,4,2
6,2,8,HVLA,5,1,5,2
8,1,0,Baseline,4,3,3,4
8,1,1,LVLA,3,3,4,2
8,1,2,LVLA,4,4,4,2
8,1,3,LVHA,4,3,3,2
8,1,4,LVHA,3,2,3,3
8,1,5,HVHA,4,1,3,4
8,1,6,HVLA,3,1,3,2
8,1,7,HVHA,4,2,3,2
8,1,8,HVLA,4,2,4,4
9,2,0,Baseline,4,4,3,4
9,2,1,LVLA,3,3,4,4
9,2,2,LVHA,5,2,4,5
9,2,3,LVLA,4,2,5,5
9,2,4,LVHA,5,2,5,4
9,2,5,HVHA,5,4,4,5
9,2,6,HVLA,3,3,4,4
9,2,7,HVHA,3,3,4,4
9,2,8,HVLA,5,2,5,4
10,3,0,Baseline,4,3,4,2
10,3,1,LVHA,4,2,4,2
10,3,2,HVLA,4,1,4,2
10,3,3,LVLA,3,3,3,3
10,3,4,HVHA,5,3,3,4
10,3,5,HVLA,5,3,5,3
10,3,6,LVHA,2,4,3,2
10,3,7,LVLA,2,4,3,3
10,3,8,HVHA,5,3,4,3
11,4,0,Baseline,4,4,3,5
11,4,1,LVHA,5,3,1,4
11,4,2,HVLA,5,3,3,5
11,4,3,LVHA,5,3,3,3
11,4,4,HVHA,5,3,3,3
11,4,5,HVLA,5,3,3,3
11,4,6,LVLA,5,3,3,3
11,4,7,LVLA,5,3,3,3
11,4,8,HVHA,4,3,3,3
12,1,0,Baseline,5,4,3,3
12,1,1,LVLA,4,4,4,2
12,1,2,LVLA,3,4,4,4
12,1,3,LVHA,4,4,3,3
12,1,4,LVHA,3,3,2,4
12,1,5,HVHA,3,2,2,3
12,1,6,HVLA,3,2,2,4
12,1,7,HVHA,3,3,2,4
12,1,8,HVLA,4,4,4,4
14,2,0,Baseline,4,4,3,4
14,2,1,LVLA,3,3,4,3
14,2,2,LVHA,4,4,3,4
14,2,3,LVLA,4,4,2,4
14,2,4,LVHA,4,4,4,5
14,2,5,HVHA,5,5,5,4
14,2,6,HVLA,3,5,3,3
14,2,7,HVHA,4,5,3,2
14,2,8,HVLA,5,2,5,5
15,1,0,Baseline,4,4,4,3
15,1,1,LVLA,4,3,4,4
15,1,2,LVLA,4,3,5,4
15,1,3,LVHA,4,4,5,4
15,1,4,LVHA,4,4,4,4
15,1,5,HVHA,4,3,4,4
15,1,6,HVLA,4,3,5,4
15,1,7,HVHA,4,3,5,4
15,1,8,HVLA,4,4,4,4
16,2,0,Baseline,4,2,4,4
16,2,1,LVLA,2,4,3,4
16,2,2,LVHA,3,2,5,4
16,2,3,LVLA,2,2,5,3
16,2,4,LVHA,3,3,5,3
16,2,5,HVHA,4,2,5,3
16,2,6,HVLA,5,1,5,3
16,2,7,HVHA,4,1,5,3
16,2,8,HVLA,5,2,5,3
17,3,0,Baseline,4,4,2,1
17,3,1,LVHA,3,4,1,2
17,3,2,HVLA,4,3,3,3
17,3,3,LVLA,2,4,3,4
17,3,4,HVHA,5,5,4,3
17,3,5,HVLA,3,2,1,1
17,3,6,LVHA,3,4,2,1
17,3,7,LVLA,1,4,1,1
17,3,8,HVHA,2,5,1,1
18,4,0,Baseline,4,2,2,2
18,4,1,LVHA,3,4,2,1
18,4,2,HVLA,5,1,4,4
18,4,3,LVHA,2,4,2,1
18,4,4,HVHA,5,2,4,3
18,4,5,HVLA,4,2,4,2
18,4,6,LVLA,4,2,4,2
18,4,7,LVLA,2,4,2,1
18,4,8,HVHA,5,5,2,4
19,3,0,Baseline,4,2,4,4
19,3,1,LVHA,4,4,2,4
19,3,2,HVLA,2,2,1,2
19,3,3,LVLA,2,2,4,4
19,3,4,HVHA,5,4,1,1
19,3,5,HVLA,5,1,5,1
19,3,6,LVHA,5,5,5,4
19,3,7,LVLA,2,4,2,1
19,3,8,HVHA,4,4,5,2
20,4,0,Baseline,5,2,4,3
20,4,1,LVHA,4,2,4,3
20,4,2,HVLA,5,2,4,3
20,4,3,LVHA,5,2,4,2
20,4,4,HVHA,4,2,4,3
20,4,5,HVLA,4,2,4,3
20,4,6,LVLA,4,2,4,1
20,4,7,LVLA,4,2,4,1
20,4,8,HVHA,4,2,4,3
21,1,0,Baseline,3,5,2,4
21,1,1,LVLA,3,3,3,4
21,1,2,LVLA,3,3,3,3
21,1,3,LVHA,2,1,2,4
21,1,4,LVHA,3,2,3,1
21,1,5,HVHA,5,4,3,2
21,1,6,HVLA,5,3,5,3
21,1,7,HVHA,5,4,5,5
21,1,8,HVLA,1,2,2,1
22,2,0,Baseline,4,1,4,4
22,2,1,LVLA,2,3,4,3
22,2,2,LVHA,3,2,2,2
22,2,3,LVLA,2,2,3,4
22,2,4,LVHA,3,3,4,4
22,2,5,HVHA,5,4,4,4
22,2,6,HVLA,3,1,4,4
22,2,7,HVHA,5,1,1,5
22,2,8,HVLA,4,3,2,4
23,3,0,Baseline,5,3,5,5
23,3,1,LVHA,4,3,5,5
23,3,2,HVLA,5,4,5,5
23,3,3,LVLA,4,3,5,5
23,3,4,HVHA,5,4,5,5
23,3,5,HVLA,5,4,5,5
23,3,6,LVHA,4,3,5,5
23,3,7,LVLA,3,3,5,5
23,3,8,HVHA,5,4,5,5
24,1,0,Baseline,4,2,4,3
24,1,1,LVLA,2,4,3,3
24,1,2,LVLA,1,3,3,3
24,1,3,LVHA,1,4,3,2
24,1,4,LVHA,1,3,3,3
24,1,5,HVHA,2,3,3,3
24,1,6,HVLA,4,2,3,3
24,1,7,HVHA,3,3,3,2
24,1,8,HVLA,5,1,4,2
25,2,0,Baseline,4,2,4,4
25,2,1,LVLA,3,3,3,3
25,2,2,LVHA,1,4,4,4
25,2,3,LVLA,4,3,4,3
25,2,4,LVHA,3,2,3,3
25,2,5,HVHA,2,4,3,1
25,2,6,HVLA,5,1,5,4
25,2,7,HVHA,1,4,3,3
25,2,8,HVLA,4,3,3,3
26,3,0,Baseline,5,1,5,5
26,3,1,LVHA,2,5,4,2
26,3,2,HVLA,5,1,5,5
26,3,3,LVLA,2,2,5,5
26,3,4,HVHA,5,1,5,5
26,3,5,HVLA,5,1,5,5
26,3,6,LVHA,1,4,3,5
26,3,7,LVLA,2,3,4,5
26,3,8,HVHA,5,4,5,5
27,4,0,Baseline,4,2,5,4
27,4,1,LVHA,3,1,3,1
27,4,2,HVLA,5,4,3,4
27,4,3,LVHA,3,1,5,3
27,4,4,HVHA,5,4,3,4
27,4,5,HVLA,4,4,3,4
27,4,6,LVLA,2,3,1,3
27,4,7,LVLA,1,4,1,4
27,4,8,HVHA,3,2,3,2
28,4,1,LVHA,3,2,5,1
28,4,0,Baseline,5,1,4,3
28,4,2,HVLA,4,1,5,5
28,4,3,LVHA,2,3,4,3
28,4,4,HVHA,4,1,4,1
28,4,5,HVLA,5,1,5,5
28,4,6,LVLA,3,2,3,2
28,4,7,LVLA,2,2,3,2
28,4,8,HVHA,3,3,4,2
29,1,0,Baseline,5,3,5,4
29,1,1,LVLA,3,3,4,4
29,1,2,LVLA,3,2,5,3
29,1,3,LVHA,4,3,5,4
29,1,4,LVHA,4,3,5,4
29,1,5,HVHA,5,4,4,4
29,1,6,HVLA,4,1,5,4
29,1,7,HVHA,5,4,5,4
29,1,8,HVLA,4,3,5,4
31,1,0,Baseline,5,4,1,3
31,1,1,LVLA,5,5,3,3
31,1,2,LVLA,5,4,3,3
31,1,3,LVHA,5,4,3,3
31,1,4,LVHA,5,4,3,3
31,1,5,HVHA,5,4,3,3
31,1,6,HVLA,5,4,3,3
31,1,7,HVHA,5,4,3,3
31,1,8,HVLA,5,4,3,3
32,2,0,Baseline,3,1,5,2
32,2,1,LVLA,3,1,5,1
32,2,2,LVHA,3,1,5,1
32,2,3,LVLA,4,1,5,1
32,2,4,LVHA,4,1,5,1
32,2,5,HVHA,3,1,5,1
32,2,6,HVLA,3,1,5,1
32,2,7,HVHA,5,1,5,2
32,2,8,HVLA,3,1,5,1
33,3,0,Baseline,4,5,2,4
33,3,1,LVHA,4,5,4,4
33,3,2,HVLA,2,5,2,3
33,3,3,LVLA,3,2,4,4
33,3,4,HVHA,4,3,5,4
33,3,5,HVLA,4,3,4,3
33,3,6,LVHA,3,4,5,3
33,3,7,LVLA,2,5,5,5
33,3,8,HVHA,5,5,3,5
34,4,0,Baseline,5,2,5,1
34,4,1,LVHA,5,3,5,1
34,4,2,HVLA,5,1,5,1
34,4,3,LVHA,4,2,3,1
34,4,4,HVHA,5,1,3,1
34,4,5,HVLA,5,1,3,1
34,4,6,LVLA,3,1,3,1
34,4,7,LVLA,2,1,2,1
34,4,8,HVHA,5,2,3,1
35,1,0,Baseline,4,2,3,3
35,1,1,LVLA,3,3,3,3
35,1,2,LVLA,3,3,3,3
35,1,3,LVHA,4,4,4,4
35,1,4,LVHA,2,4,2,4
35,1,5,HVHA,5,5,1,5
35,1,6,HVLA,5,3,4,2
35,1,7,HVHA,5,5,2,5
35,1,8,HVLA,4,3,4,2
36,2,0,Baseline,4,4,3,3
36,2,1,LVLA,1,1,5,5
36,2,2,LVHA,1,2,4,2
36,2,3,LVLA,4,4,2,4
36,2,4,LVHA,1,2,4,2
36,2,5,HVHA,3,3,4,4
36,2,6,HVLA,5,3,2,5
36,2,7,HVHA,5,3,1,4
36,2,8,HVLA,5,3,2,4
37,3,0,Baseline,4,4,4,3
37,3,1,LVHA,3,3,3,4
37,3,2,HVLA,4,4,4,2
37,3,3,LVLA,2,3,4,5
37,3,4,HVHA,4,4,4,5
37,3,5,HVLA,5,4,4,4
37,3,6,LVHA,3,3,1,4
37,3,7,LVLA,2,4,4,5
37,3,8,HVHA,4,4,2,4
38,4,0,Baseline,4,1,4,2
38,4,1,LVHA,3,2,3,2
38,4,2,HVLA,4,1,4,2
38,4,3,LVHA,2,4,2,1
38,4,4,HVHA,4,2,4,1
38,4,5,HVLA,4,2,3,2
38,4,6,LVLA,2,3,3,2
38,4,7,LVLA,2,3,3,3
38,4,8,HVHA,4,4,2,1
39,3,0,Baseline,5,4,5,4
39,3,1,LVHA,4,4,4,2
39,3,2,HVLA,5,5,5,5
39,3,3,LVLA,4,1,4,5
39,3,4,HVHA,5,4,5,3
39,3,5,HVLA,4,2,4,3
39,3,6,LVHA,4,5,4,1
39,3,7,LVLA,3,1,4,4
39,3,8,HVHA,3,1,4,1
40,4,0,Baseline,4,1,3,3
40,4,1,LVHA,4,1,3,4
40,4,2,HVLA,3,1,3,4
40,4,3,LVHA,5,4,2,4
40,4,4,HVHA,5,2,4,4
40,4,5,HVLA,3,2,3,4
40,4,6,LVLA,3,2,2,4
40,4,7,LVLA,2,4,2,3
40,4,8,HVHA,3,3,2,3